"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"NOCIL","NOCIL Limited","Mrs Rekha H Mafatlal","22-SEP-2020 to 22-SEP-2020",,"164000","760","Reg29(2)","23-Sep-2020, 19-56"
"SEAMECLTD","Seamec Limited","HAL Offshore Limited","21-SEP-2020 to 21-SEP-2020","24500",,"17796975","Reg29(2)","23-Sep-2020, 19-54"
"JSL","Jindal Stainless Limited","SBICAP Trustee Company Limited","21-SEP-2020 to 21-SEP-2020",,,"273701374","Reg29(2)","23-Sep-2020, 19-50"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C Gandhi","22-SEP-2020 to 22-SEP-2020","1500",,"582028","Reg29(2)","23-Sep-2020, 19-46"
"NOCIL","NOCIL Limited","Mr Hrishikesh Mafatlal","22-SEP-2020 to 22-SEP-2020",,"177000","900","Reg29(2)","23-Sep-2020, 19-44"
"NOCIL","NOCIL Limited","Sushripada Investments Private Limited","22-SEP-2020 to 22-SEP-2020","549650",,"9510530","Reg29(2)","23-Sep-2020, 19-42"
"PNBHOUSING","PNB Housing Finance Limited","Investment Opportunities Y Pte Limited","21-SEP-2020 to 21-SEP-2020","500000",,"12935006","Reg29(2)","23-Sep-2020, 19-38"
"NOCIL","NOCIL Limited","Sushripada Investments Private Limited","22-SEP-2020 to 22-SEP-2020","549650",,"9510530","Reg29(1)","23-Sep-2020, 19-24"
"RENUKA","Shree Renuka Sugars Limited","Wilmar Sugar Holdings Pte Ltd","21-SEP-2020 to 21-SEP-2020","211670481",,"1329875232","Reg29(2)","23-Sep-2020, 19-22"
"NOCIL","NOCIL Limited","Suremi Trading Private Limited","22-SEP-2020 to 22-SEP-2020","296294",,"21568459","Reg29(2)","23-Sep-2020, 19-20"
"NOCIL","NOCIL Limited","Suremi Trading Private Limited","22-SEP-2020 to 22-SEP-2020","296294",,"21568459","Reg29(1)","23-Sep-2020, 19-16"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","21-SEP-2020 to 21-SEP-2020","77000",,"42217092","Reg29(2)","23-Sep-2020, 19-14"
"OLECTRA","Olectra Greentech Limited","Trinity Infraventures Limited along with PAC","18-SEP-2020 to 18-SEP-2020",,"0","7434808","Reg29(2)","23-Sep-2020, 19-08"
"MANINFRA","Man Infraconstruction Limited","Parag K Shah","21-SEP-2020 to 21-SEP-2020","100000",,"83908954","Reg29(2)","23-Sep-2020, 13-44"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","22-SEP-2020 to 22-SEP-2020","5000",,"2408320","Reg29(2)","23-Sep-2020, 11-26"
"CHAMBLFERT","Chambal Fertilizers & Chemicals Limited","The Hindustan Times Ltd.","21-SEP-2020 to 21-SEP-2020","30000",,"59237420","Reg29(2)","23-Sep-2020, 11-24"
"DISHTV","Dish TV India Limited","World Crest Advisors LLP","27-JUL-2020 to 18-SEP-2020",,"17961127","27689410","Reg29(2)","23-Sep-2020, 11-24"
"DISHTV","Dish TV India Limited","Direct Media Distribution Ventures Private Ltd","27-JUL-2020 to 18-SEP-2020",,"23561187","151290836","Reg29(2)","23-Sep-2020, 11-24"
"OLECTRA","Olectra Greentech Limited","Trinity Infraventures Limited  along with PAC","18-SEP-2020 to 21-SEP-2020",,"89756","7345052","Reg29(2)","23-Sep-2020, 11-24"
"ORIENTBELL","Orient Bell Limited","Good Team Investment And Trading Company Private Limited","21-SEP-2020 to 21-SEP-2020","2800",,"2401899","Reg29(2)","23-Sep-2020, 11-24"
"ORIENTBELL","Orient Bell Limited","Good Team Investment And Trading Company Private Limited","18-SEP-2020 to 18-SEP-2020","1312",,"2399099","Reg29(2)","23-Sep-2020, 11-24"
"ORIENTBELL","Orient Bell Limited","Mahendra K Daga","21-SEP-2020 to 21-SEP-2020","20058",,"3195126","Reg29(2)","23-Sep-2020, 11-24"
"ORIENTBELL","Orient Bell Limited","Madhur Daga","18-SEP-2020 to 18-SEP-2020","1940",,"1307556","Reg29(2)","23-Sep-2020, 11-24"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","21-SEP-2020 to 22-SEP-2020","77292",,"30379968","Reg29(2)","23-Sep-2020, 11-24"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","21-SEP-2020 to 22-SEP-2020","77292",,"30379968","Reg29(1)","23-Sep-2020, 11-24"
"SUPREMEIND","Supreme Industries Limited","Axis Capital Builder Fund  Series 1 Axis Equity Advantage Fund Series 1 Axis Focused 25 Fund Axis Growth Opportunities Fund Axis Midcap Fund and Axis Small Cap Fund Schemes of Axis Mutual Fund","21-SEP-2020 to 21-SEP-2020","36999",,"6364127","Reg29(1)","23-Sep-2020, 11-24"
"TALBROAUTO","Talbros Automotive Components Limited","Umesh Talwar","18-SEP-2020 to 18-SEP-2020",,"85917","345989","Reg29(2)","23-Sep-2020, 11-24"
"TALBROAUTO","Talbros Automotive Components Limited","Naresh Talwar","18-SEP-2020 to 18-SEP-2020","85917",,"545816","Reg29(2)","23-Sep-2020, 11-24"
"VEDL","Vedanta Limited","J.P.Morgan  AG(for  and  on  behalf  of  the  Finance Parties","18-SEP-2020 to 18-SEP-2020","1863458132",,"1863458132","Reg29(1)","23-Sep-2020, 11-24"
"BALRAMCHIN","Balrampur Chini Mills Limited","Reliance Mutual Fund now known as Nippon India Mutual Fund","18-SEP-2020 to 18-SEP-2020","368900",,"10825401","Reg29(1)","22-Sep-2020, 21-04"
"GANGESSECU","Ganges Securities Limited","Ronson Traders Ltd","21-SEP-2020 to 21-SEP-2020","7752",,"352995","Reg29(2)","22-Sep-2020, 21-00"
"GANGESSECU","Ganges Securities Limited","Uttam Commercial Limited","21-SEP-2020 to 22-SEP-2020","14123",,"16050","Reg29(2)","22-Sep-2020, 20-58"
"PALASHSECU","Palash Securities Limited","Ronson Traders Ltd","21-SEP-2020 to 22-SEP-2020","2508",,"485268","Reg29(2)","22-Sep-2020, 20-58"
"USHAMART","Usha Martin Limited","Neutral Publishing House Ltd","21-SEP-2020 to 21-SEP-2020","243810",,"11449631","Reg29(2)","22-Sep-2020, 20-56"
"ZYDUSWELL","Zydus Wellness Limited","Zydus Family Trust","19-SEP-2020 to 19-SEP-2020","2122000",,"4593193","Reg29(2)","22-Sep-2020, 20-52"
"ESSELPACK","Essel Propack Limited","DB International Trust (Singapore) Limited acting as a Security  agent.DB International ( Asia) Limited in its Capacity  as Principal  holder of shares carrying  voting rights","18-SEP-2020 to 18-SEP-2020",,"72580149","163973866","Reg29(2)","22-Sep-2020, 20-50"
"HFCL","HFCL Limited","MN Ventures Private Limited","22-SEP-2020 to 22-SEP-2020","2200000",,"250090000","Reg29(2)","22-Sep-2020, 20-44"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","21-SEP-2020 to 21-SEP-2020","50000",,"8528000","Reg29(2)","22-Sep-2020, 20-42"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","18-SEP-2020 to 18-SEP-2020","35458",,"8478000","Reg29(2)","22-Sep-2020, 20-38"
"CLEDUCATE","CL Educate Limited","Sapna Puri","21-SEP-2020 to 21-SEP-2020","7038",,"21906","Reg29(2)","22-Sep-2020, 20-24"
"BIGBLOC","Bigbloc Construction Limited","Narayan Sitaram Saboo HUF","21-SEP-2020 to 21-SEP-2020","13650",,"409876","Reg29(2)","22-Sep-2020, 20-08"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Ltd","22-SEP-2020 to 22-SEP-2020",,"2000000","17059226","Reg29(2)","22-Sep-2020, 20-00"
"GRANULES","Granules India Limited","FMR LLC and its direct and indirect subsidiaries and FIL Limited and its direct and indirect subsidiaries","18-SEP-2020 to 18-SEP-2020","399135",,"12470787","Reg29(1)","22-Sep-2020, 19-56"
"TARMAT","Tarmat Limited","Jerry Varghese","18-SEP-2020 to 18-SEP-2020",,"10000","3231820","Reg29(2)","22-Sep-2020, 18-28"
"AUBANK","AU Small Finance Bank Limited","Wasatch Advisors Inc","18-SEP-2020 to 18-SEP-2020","554974",,"15781766","Reg29(1)","22-Sep-2020, 15-30"
"AUBANK","AU Small Finance Bank Limited","Wasatch Advisors, Inc","18-SEP-2020 to 18-SEP-2020","554974",,"15781766","Reg29(2)","22-Sep-2020, 15-30"
"CLEDUCATE","CL Educate Limited","Sapna Puri","16-SEP-2020 to 16-SEP-2020","8083",,"9883","Reg29(2)","22-Sep-2020, 15-30"
"CLEDUCATE","CL Educate Limited","Sapna Puri","18-SEP-2020 to 18-SEP-2020","4985",,"14868","Reg29(2)","22-Sep-2020, 15-30"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","21-SEP-2020 to 21-SEP-2020","5000",,"2403320","Reg29(2)","22-Sep-2020, 15-30"
"DALMIASUG","Dalmia Bharat Sugar and Industries Limited","Y H Dalmia Parivar Trust  along with PAC","15-SEP-2020 to 15-SEP-2020","327630",,"60634122","Reg29(1)","22-Sep-2020, 12-28"
"DALMIASUG","Dalmia Bharat Sugar and Industries Limited","Y.H.Dalmia Parivar Trust along with PAC","15-SEP-2020 to 15-SEP-2020","0",,"60634122","Reg29(1)","22-Sep-2020, 12-26"
"DALMIASUG","Dalmia Bharat Sugar and Industries Limited","Y H.Dalmia Parivar Trust along with PAC","15-SEP-2020 to 15-SEP-2020",,,"60634122","Reg29(2)","22-Sep-2020, 12-24"
"ASIANPAINT","Asian Paints Limited","SATYEN ASHWIN GANDHI","18-SEP-2020 to 18-SEP-2020","2116965",,"2306600","Reg29(1)","21-Sep-2020, 21-44"
"ASIANPAINT","Asian Paints Limited","Hiren Ashwin Gandhi","18-SEP-2020 to 18-SEP-2020","2116965",,"2306515","Reg29(1)","21-Sep-2020, 21-44"
"HFCL","HFCL Limited","MN Ventures Private Limited","21-SEP-2020 to 21-SEP-2020","2000000",,"247890000","Reg29(2)","21-Sep-2020, 21-44"
"NCLIND","NCL Industries Limited","Anuradha Kalidindi","18-SEP-2020 to 18-SEP-2020","1750",,"877973","Reg29(2)","21-Sep-2020, 21-42"
"NCLIND","NCL Industries Limited","Ravi Kalidindi","18-SEP-2020 to 18-SEP-2020","5000",,"2533069","Reg29(1)","21-Sep-2020, 21-40"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","18-SEP-2020 to 18-SEP-2020","71000",,"42140092","Reg29(2)","21-Sep-2020, 21-38"
"PANACEABIO","Panacea Biotec Limited","Sunanda Jain","17-SEP-2020 to 17-SEP-2020","4135000",,"11497800","Reg29(2)","21-Sep-2020, 21-36"
"PANACEABIO","Panacea Biotec Limited","Sunanda Jain","17-SEP-2020 to 17-SEP-2020",,"4135000","0","Reg29(2)","21-Sep-2020, 21-36"
"JINDALSAW","Jindal Saw Limited","Shradha Jatia along with PAC","17-SEP-2020 to 17-SEP-2020","32750",,"75250","Reg29(2)","21-Sep-2020, 21-32"
"PANAMAPET","Panama Petrochem Limited","Akbarai E Rayai and Shelina A Rayni and Vazirali E Rayani and Arif A Rayani and Begumbanu Akbarali Rayani and Ittefaq Ice and Cold Storage Pvt Ltd","28-FEB-2020 to 18-SEP-2020","961859",,"32930213","Reg29(2)","21-Sep-2020, 21-32"
"JINDALSAW","Jindal Saw Limited","Tripti Jindal","17-SEP-2020 to 17-SEP-2020","32750",,"47750","Reg29(2)","21-Sep-2020, 21-30"
"JINDALSAW","Jindal Saw Limited","Sminu Jindal","17-SEP-2020 to 17-SEP-2020","32750",,"47750","Reg29(2)","21-Sep-2020, 21-30"
"JISLJALEQS","Jain Irrigation Systems Limited","Hardik B Patel alongwith PAC","21-SEP-2020 to 21-SEP-2020","358092",,"34876089","Reg29(2)","21-Sep-2020, 21-24"
"JISLJALEQS","Jain Irrigation Systems Limited","Hardik B Patel alongwith PAC","27-MAR-2020 to 27-MAR-2020","349928",,"25046494","Reg29(1)","21-Sep-2020, 21-24"
"21STCENMGM","21st Century Management Services Limited","Mr Sundar Iyer","17-SEP-2020 to 17-SEP-2020","57116",,"4469696","Reg29(2)","21-Sep-2020, 21-22"
"KPITTECH","KPIT Technologies Limited","Anupama Patil","18-SEP-2020 to 18-SEP-2020","1400000",,"1522330","Reg29(2)","21-Sep-2020, 21-20"
"MOTOGENFIN","The Motor & General Finance Limited","Gee Gee Holdings Private Limited","18-SEP-2020 to 18-SEP-2020","6658",,"1798630","Reg29(2)","21-Sep-2020, 18-06"
"SEAMECLTD","Seamec Limited","HAL Offshore Limited","18-SEP-2020 to 18-SEP-2020","25000",,"17772475","Reg29(2)","21-Sep-2020, 18-04"
"MANINFRA","Man Infraconstruction Limited","PARAG K SHAH","18-SEP-2020 to 18-SEP-2020","97589",,"83808954","Reg29(2)","21-Sep-2020, 18-02"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","18-SEP-2020 to 18-SEP-2020","1500",,"42000","Reg29(2)","21-Sep-2020, 18-00"
"ASIANPAINT","Asian Paints Limited","HIren Ashwin Gandhi and Satyen Ashwin Gandhi","18-SEP-2020 to 18-SEP-2020",,"4233930","0","Reg29(2)","21-Sep-2020, 17-56"
"APOLLO","Apollo Micro Systems Limited","Sudarshan Chiluveru","08-SEP-2020 to 08-SEP-2020","800000",,"800000","Reg29(2)","21-Sep-2020, 17-54"
"APOLLO","Apollo Micro Systems Limited","Sudarshan Chiluveru","08-SEP-2020 to 08-SEP-2020","0",,"53900","Reg29(2)","21-Sep-2020, 17-54"
"ASTEC","Astec LifeSciences Limited","Ashok V. Hiremath","18-SEP-2020 to 18-SEP-2020",,"16987","1494219","Reg29(2)","21-Sep-2020, 09-30"
"ASTEC","Astec LifeSciences Limited","Ashok V. Hiremath","17-SEP-2020 to 17-SEP-2020",,"7703","1511206","Reg29(2)","21-Sep-2020, 09-28"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C. Gandhi HUF","18-SEP-2020 to 18-SEP-2020","1500",,"22500","Reg29(2)","21-Sep-2020, 08-54"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","16-SEP-2020 to 17-SEP-2020","67841",,"42069092","Reg29(2)","21-Sep-2020, 08-52"
"ADSL","Allied Digital Services Limited","Mr. Nitin Dhanji Shah along with PAC","16-SEP-2020 to 16-SEP-2020",,,"18783031","Reg29(2)","21-Sep-2020, 08-52"
"AJOONI","Ajooni Biotech Limited","Ishneet kaur","18-SEP-2020 to 18-SEP-2020","8000",,"596777","Reg29(2)","21-Sep-2020, 08-52"
"ASTEC","Astec LifeSciences Limited","Ashok V. Hiremath","16-SEP-2020 to 16-SEP-2020",,"56000","1518909","Reg29(2)","21-Sep-2020, 08-52"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","18-SEP-2020 to 18-SEP-2020","5000",,"2398320","Reg29(2)","21-Sep-2020, 08-52"
"DBCORP","D.B.Corp Limited","Bhawna Agarwal","09-SEP-2020 to 11-SEP-2020","20000",,"143367","Reg29(2)","21-Sep-2020, 08-52"
"ESSELPACK","Essel Propack Limited","Epsilon Bidco Pte. Ltd. along with PACs","18-SEP-2020 to 18-SEP-2020",,"72580090","163973866","Reg29(2)","21-Sep-2020, 08-52"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","18-SEP-2020 to 18-SEP-2020","1500",,"174400","Reg29(2)","21-Sep-2020, 08-52"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","18-SEP-2020 to 18-SEP-2020","1500",,"175900","Reg29(2)","21-Sep-2020, 08-52"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C Gandhi","18-SEP-2020 to 18-SEP-2020","1500",,"580528","Reg29(2)","21-Sep-2020, 08-52"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","18-SEP-2020 to 18-SEP-2020","1500",,"177400","Reg29(2)","21-Sep-2020, 08-52"
"USHAMART","Usha Martin Limited","Neutral Publishing House Ltd","18-SEP-2020 to 18-SEP-2020","326076",,"11205821","Reg29(2)","21-Sep-2020, 08-52"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","15-SEP-2020 to 15-SEP-2020","60283",,"42001251","Reg29(2)","18-Sep-2020, 20-32"
"BLUESTARCO","Blue Star Limited","Mitsubishi UFJ Financial Group","16-SEP-2020 to 16-SEP-2020",,"2323863","2661442","Reg29(2)","18-Sep-2020, 20-32"
"KHADIM","Khadim India Limited","Tanusree Roy Burman","16-SEP-2020 to 16-SEP-2020","1000",,"16060","Reg29(2)","18-Sep-2020, 20-32"
"POKARNA","Pokarna Limited","Nippon  Life  India  Trustee  Limited","15-SEP-2020 to 15-SEP-2020","53138",,"2246499","Reg29(2)","18-Sep-2020, 20-32"
"SHIL","Somany Home Innovation Limited","Somany Impresa Ltd","17-SEP-2020 to 18-SEP-2020","231709",,"30302676","Reg29(1)","18-Sep-2020, 20-32"
"SHIL","Somany Home Innovation Limited","Somany Impresa Ltd","17-SEP-2020 to 18-SEP-2020","231709",,"30302676","Reg29(2)","18-Sep-2020, 20-32"
"TECHM","Tech Mahindra Limited","Mitsubishi UFJ Financial Group","16-SEP-2020 to 16-SEP-2020",,"21897944","66888655","Reg29(2)","18-Sep-2020, 20-32"
"TRIDENT","Trident Limited","Trident Capital Limited","17-SEP-2020 to 17-SEP-2020","550000",,"192736190","Reg29(2)","18-Sep-2020, 20-32"
"USHAMART","Usha Martin Limited","Peterhouse Investments Limited","17-SEP-2020 to 18-SEP-2020",,"540000","17904919","Reg29(2)","18-Sep-2020, 20-32"
"SKIL","SKIL Infrastructure Limited","Vistra ITCL (India) Limited","06-JUL-2017 to 16-SEP-2020","78000","4325000","11875000","Reg29(2)","18-Sep-2020, 18-56"
"MINDAIND","Minda Industries Limited","Anand Kumar Minda","15-SEP-2020 to 15-SEP-2020","2000",,"56000","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Amit Minda","15-SEP-2020 to 15-SEP-2020","6666",,"1299186","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Singhal Fincap Ltd","15-SEP-2020 to 15-SEP-2020","275918",,"7725713","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Minda Investments Ltd","15-SEP-2020 to 15-SEP-2020","2364820",,"66214960","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Maa Vaishno Devi Endowment","15-SEP-2020 to 15-SEP-2020","0",,"324690","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Paridhi Minda","15-SEP-2020 to 15-SEP-2020","505643",,"2215643","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Minda Finance Ltd","15-SEP-2020 to 15-SEP-2020","322",,"3738624","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Nirmal Kr Minda","15-SEP-2020 to 15-SEP-2020","2421167",,"67792697","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Suman Minda","15-SEP-2020 to 15-SEP-2020","1428597",,"40000737","Reg29(2)","18-Sep-2020, 18-50"
"MINDAIND","Minda Industries Limited","Pallak Minda","15-SEP-2020 to 15-SEP-2020","120933",,"3386133","Reg29(2)","18-Sep-2020, 18-50"
"JINDALSAW","Jindal Saw Limited","Prithavi Raj Jindal along with PAC","17-SEP-2020 to 17-SEP-2020",,"98250","450","Reg29(2)","18-Sep-2020, 18-48"
"MANINFRA","Man Infraconstruction Limited","PARAG K SHAH","16-SEP-2020 to 16-SEP-2020","200000",,"83511365","Reg29(2)","18-Sep-2020, 18-40"
"BIGBLOC","Bigbloc Construction Limited","Narayan Saboo HUF","15-SEP-2020 to 16-SEP-2020","5797",,"395866","Reg29(2)","18-Sep-2020, 18-38"
"BIGBLOC","Bigbloc Construction Limited","Narayan Saboo huf","15-SEP-2020 to 16-SEP-2020","360",,"396226","Reg29(2)","18-Sep-2020, 18-38"
"GOLDIAM","Goldiam International Limited","Anmol Rashesh Bhansali","15-SEP-2020 to 15-SEP-2020","4500",,"3541000","Reg29(2)","18-Sep-2020, 18-38"
"ARMANFIN","Arman Financial Services Limited","Aakash J Patel","18-SEP-2020 to 18-SEP-2020",,"29900","0","Reg29(2)","18-Sep-2020, 18-34"
"ARMANFIN","Arman Financial Services Limited","Ritaben J Patel","18-SEP-2020 to 18-SEP-2020","14950",,"436089","Reg29(2)","18-Sep-2020, 18-34"
"MOHITIND","Mohit Industries Limited","Narayan Saboo","15-SEP-2020 to 15-SEP-2020","62125",,"642510","Reg29(2)","18-Sep-2020, 18-34"
"MANAKSIA","Manaksia Limited","Manaksia Steels Limited","16-SEP-2020 to 16-SEP-2020","1325000",,"4000000","Reg29(2)","18-Sep-2020, 18-26"
"MANAKSIA","Manaksia Limited","Manaksia Steels Limited","16-SEP-2020 to 16-SEP-2020","1325000",,"4000000","Reg29(1)","18-Sep-2020, 18-26"
"TRIDENT","Trident Limited","Trident Capital Limited","16-SEP-2020 to 16-SEP-2020","550000",,"192186190","Reg29(2)","18-Sep-2020, 17-54"
"SEAMECLTD","Seamec Limited","HAL Offshore Limited","16-SEP-2020 to 16-SEP-2020","60000",,"17747475","Reg29(2)","18-Sep-2020, 17-52"
"21STCENMGM","21st Century Management Services Limited","Mr Sundar Iyer","16-SEP-2020 to 16-SEP-2020","99850",,"4412580","Reg29(2)","18-Sep-2020, 17-50"
"ARMANFIN","Arman Financial Services Limited","Jayendra B Patel","18-SEP-2020 to 18-SEP-2020","14950",,"427937","Reg29(2)","18-Sep-2020, 17-40"
"MAHICKRA","Mahickra Chemicals Limited","Chintan Ashishkumar Gandhi","16-SEP-2020 to 16-SEP-2020","1500",,"40500","Reg29(2)","18-Sep-2020, 17-38"
"ARMANFIN","Arman Financial Services Limited","Himani Manakiwala","18-SEP-2020 to 18-SEP-2020",,"2354","23139","Reg29(2)","18-Sep-2020, 17-36"
"ORIENTBELL","Orient Bell Limited","Good Team Investment And Trading Company Private Limited","17-SEP-2020 to 17-SEP-2020","1732",,"2397787","Reg29(2)","18-Sep-2020, 17-36"
"MOHITIND","Mohit Industries Limited","Narayan Sitaram Saboo","16-SEP-2020 to 16-SEP-2020","149",,"642659","Reg29(2)","18-Sep-2020, 17-34"
"IBULHSGFIN","Indiabulls Housing Finance Limited","Sameer Gehlaut","15-SEP-2020 to 15-SEP-2020","0",,"17251482","Reg29(2)","18-Sep-2020, 09-44"
"INSECTICID","Insecticides (India) Limited","Life Insurance Corporation of India","16-APR-2015 to 15-SEP-2020",,"416468","596032","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Minda Investment Ltd","15-SEP-2020 to 15-SEP-2020","2364820",,"66214960","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Maa Vaishno Devi Endowment","15-SEP-2020 to 15-SEP-2020","0",,"324690","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Nirmal K Minda","15-SEP-2020 to 15-SEP-2020","2421167",,"67792697","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Pallak Minda","15-SEP-2020 to 15-SEP-2020","120933",,"3386133","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Paridhi Minda","15-SEP-2020 to 15-SEP-2020","505643",,"2215643","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Amit Minda","15-SEP-2020 to 15-SEP-2020","6666",,"1299186","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Anand Kumar Minda","15-SEP-2020 to 15-SEP-2020","2000",,"56000","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Singhal Fincap Ltd","15-SEP-2020 to 15-SEP-2020","275918",,"7725713","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Minda Finance Ltd","15-SEP-2020 to 15-SEP-2020","322",,"3738624","Reg29(2)","18-Sep-2020, 09-44"
"MINDAIND","Minda Industries Limited","Suman Minda","15-SEP-2020 to 15-SEP-2020","1428597",,"40000737","Reg29(2)","18-Sep-2020, 09-44"
"MSTCLTD","Mstc Limited","Life Insurance Corporation of India","30-MAR-2019 to 15-SEP-2020",,"1433599","5593377","Reg29(2)","18-Sep-2020, 09-44"
"ASTEC","Astec LifeSciences Limited","Ashok V Hiremath","15-SEP-2020 to 15-SEP-2020",,"47000","1574909","Reg29(2)","18-Sep-2020, 09-42"
"IBULHSGFIN","Indiabulls Housing Finance Limited","Inuus Infrastructure Private Limited","15-SEP-2020 to 15-SEP-2020","0",,"82943325","Reg29(2)","18-Sep-2020, 09-42"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","15-SEP-2020 to 16-SEP-2020","240999",,"30070967","Reg29(1)","17-Sep-2020, 20-42"
"MAHICKRA","Mahickra Chemicals Limited","Mitesh C Gandhi","16-SEP-2020 to 16-SEP-2020","1500",,"579028","Reg29(2)","17-Sep-2020, 20-40"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","15-SEP-2020 to 16-SEP-2020","240999",,"30070967","Reg29(2)","17-Sep-2020, 20-40"
"LGBBROSLTD","LG Balakrishnan & Bros Limited","V Rajvirdhan","15-SEP-2020 to 16-SEP-2020",,"70000","3137655","Reg29(2)","17-Sep-2020, 20-38"
"MAHICKRA","Mahickra Chemicals Limited","Anitaben Ashishkumar Gandhi","16-SEP-2020 to 16-SEP-2020","1500",,"172900","Reg29(2)","17-Sep-2020, 20-38"
"ASHAPURMIN","Ashapura Minechem Limited","Ashapura Industrial Finance Limited","15-SEP-2020 to 15-SEP-2020","25000",,"8442542","Reg29(2)","17-Sep-2020, 20-36"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","15-SEP-2020 to 16-SEP-2020","240999",,"30070967","Reg29(2)","17-Sep-2020, 20-34"
"SHIL","Somany Home Innovation Limited","Somany Impresa Limited","15-SEP-2020 to 16-SEP-2020","240999",,"30070967","Reg29(1)","17-Sep-2020, 20-34"
"EXCEL","Excel Realty N Infra Limited","Lakhmendra Khurana along with PAC","13-AUG-2020 to 16-SEP-2020","1878401",,"46534329","Reg29(2)","17-Sep-2020, 20-30"
"NDRAUTO","Ndr Auto Components Limited","Aashim Relan Jointly with Ajay Relan","16-SEP-2020 to 16-SEP-2020",,"304440","0","Reg29(2)","17-Sep-2020, 20-30"
"CLEDUCATE","CL Educate Limited","Satya Narayanan R","17-SEP-2020 to 17-SEP-2020","5000",,"2393320","Reg29(2)","17-Sep-2020, 20-22"
"CLEDUCATE","CL Educate Limited","Gautam Puri HUF","16-SEP-2020 to 16-SEP-2020","8083",,"51646","Reg29(2)","17-Sep-2020, 20-22"
"CLEDUCATE","CL Educate Limited","Gautam Puri","16-SEP-2020 to 16-SEP-2020","4600",,"2339124","Reg29(2)","17-Sep-2020, 20-20"
"ECLERX","eClerx Services Limited","SBI Mutual Fund under its various Scheme","16-SEP-2020 to 16-SEP-2020",,"18000","1048024","Reg29(2)","17-Sep-2020, 20-20"
"KHADIM","Khadim India Limited","Siddhartha Roy Burman","15-SEP-2020 to 15-SEP-2020","500",,"1642649","Reg29(2)","17-Sep-2020, 20-20"
